ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237663307455070674,0.68800194289264,28.944353517552,-0.0004657801,21.21601,21.20976,21.21953,20.6907,15.487,14.908,21.20811,21.19876,21.20911,11.899,0.252,9999,9999,9999,9999,9999,9999,21.53421,1.691914
1237663308525798216,0.0408238952203419,35.8027140293778,-0.04587191,21.71804,21.25939,21.48944,20.83607,17.166,16.889,21.7142,21.25274,21.4693,12.342,9999,9999,9999,9999,9999,9999,9999,22.00437,2.535242
1237663716017570040,7.35335010774503,0.603132135775494,-0.5716317,20.83792,20.76565,20.48918,20.59949,16.922,15.734,20.84039,20.77689,20.53209,12.671,0.521,9999,9999,9999,9999,9999,9999,21.57081,0.6469606
1237663716018028932,8.48624873658412,0.482975196768552,-4.472345,20.80389,20.68456,20.81197,20.72603,17.091,15.539,20.8036,20.69615,20.8333,12.597,9999,9999,9999,9999,9999,9999,9999,21.14154,0.8134992
1237663716019077384,10.9121383346375,0.432118029825158,-1.296854,21.48411,21.11595,21.11974,20.79664,17.192,15.698,21.51871,21.16643,21.13802,11.96,9999,9999,9999,9999,9999,9999,9999,21.48881,1.128611
1237663716554768547,8.14618236154001,0.990531872229005,-19.34117,19.5533,19.46928,19.44331,19.19704,14.464,13.789,19.56947,19.48516,19.48255,11.109,0.148,9999,9999,9999,9999,9999,9999,19.90045,0.7904743
1237663716555948345,10.8589399960586,1.03983538945773,-0.01572197,20.98368,20.66753,20.57533,20.78263,17.115,15.242,21.04019,20.73204,20.58961,11.642,9999,9999,9999,9999,9999,9999,9999,21.62613,1.439471
1237663782590481382,8.4842066236915,-1.19432400435196,-28.39743,22.22796,20.72982,19.74432,19.36781,15.874,15.589,24.17756,22.7705,21.62259,12.378,9999,9999,9999,9999,9999,9999,9999,25.30039,6.710335
1237663783125647791,4.57342461934917,-0.655457062704656,-0.131608,21.38215,21.44128,21.19459,21.61606,17.032,15.626,21.39137,21.44479,21.15756,12.614,9999,9999,9999,9999,9999,9999,9999,21.65128,1.724858
1237663783126696557,6.98287265360381,-0.671080793887096,-42.10303,22.44607,20.92135,19.99671,19.67129,16.08,16.104,23.04792,21.60707,20.67296,11.824,9999,9999,9999,9999,9999,9999,9999,23.44048,0.5061135
1237663783128465677,10.950930778502,-0.70518786527218,-0.05331099,22.29859,21.81056,21.70863,20.97518,16.658,16.157,22.33991,21.87484,21.79013,12.427,0.522,9999,9999,9999,9999,9999,9999,22.06785,1.256018
1237663783129121154,12.4573583748474,-0.690746835104719,-0.03470691,21.86382,21.43746,21.05861,20.40331,16.249,15.849,22.0012,21.64276,21.24639,12.302,9999,9999,9999,9999,9999,9999,9999,22.53762,0.8769922
1237663783132856814,21.001176063609,-0.675186405219695,-2.350394,22.59755,21.95134,21.48643,21.36309,16.807,16.091,22.6188,21.92145,21.50322,12.462,9999,9999,9999,9999,9999,9999,9999,22.87053,3.952931
1237663783133118788,21.6405907959974,-0.756443653839417,-0.3422743,21.44093,21.00881,20.90817,20.46302,17.168,15.82,21.52092,21.09545,21.01196,12.383,0.372,9999,9999,9999,9999,9999,9999,21.6693,1.108636
1237663783664746770,9.59432998820558,-0.23047239169663,-0.2736408,21.05528,20.82667,20.7756,20.72976,17.265,15.42,21.06857,20.81517,20.75815,12.44,9999,9999,9999,9999,9999,9999,9999,21.2766,1.272752
1237663784199454867,4.76323673292597,0.116451613763256,-36275.46,16.6486,16.01306,15.58398,15.33868,13.393,13.062,18.80753,18.41978,17.89025,9.884,0.069,15.408,0.112,14.861,0.151,14.246,0.108,17.88056,0.07246768
1237663784199651764,5.09442607124941,0.0422181120381568,-5.905841,20.56763,20.33111,20.1966,20.07746,16.714,15.964,20.59122,20.33723,20.23414,12.009,0.302,9999,9999,9999,9999,9999,9999,21.42968,2.749506
1237663784201486639,9.39449098098048,0.133977200370853,-1.491339,19.20172,18.98343,18.99182,19.22293,15.669,14.183,19.21333,18.99744,19.00189,11.749,0.313,9999,9999,9999,9999,9999,9999,19.24815,1.170608
1237663784201486678,9.42498104917564,0.193700201298185,-0.2327291,19.88652,19.89428,19.8432,19.84004,15.711,14.569,19.91441,19.93867,19.87756,11.68,0.282,9999,9999,9999,9999,9999,9999,20.01492,1.479756
1237663784206533761,20.9094361833486,0.114006354639624,-0.1154351,23.64586,22.52615,22.60374,21.52991,17.379,16.357,23.5526,22.50158,22.64208,12.731,9999,9999,9999,9999,9999,9999,9999,23.48127,1.332981
1237663784206664343,21.1857798717915,0.145546330792591,-0.00314318,23.95609,23.28744,22.27713,21.87479,16.127,15.755,24.08778,23.37964,22.35753,12.774,9999,9999,9999,9999,9999,9999,9999,23.48829,1.343441
1237663784209285264,27.1670740315448,0.206762448379425,-0.2637718,19.87841,19.77318,19.64174,19.65944,16.533,15.025,19.86234,19.78035,19.65965,12.195,0.275,9999,9999,9999,9999,9999,9999,19.98229,1.496039
1237663784746287402,27.5020426353691,0.438490914860565,-0.3423763,21.4146,21.17815,20.89416,20.76493,16.981,15.878,21.40224,21.18885,20.92342,12.86,0.471,9999,9999,9999,9999,9999,9999,22.02661,0.7289358
1237663785280471343,21.3871410322861,0.996854158465293,-0.1565795,20.81016,20.42822,20.17537,19.89695,16.753,15.439,20.8405,20.45763,20.19526,11.755,0.176,9999,9999,9999,9999,9999,9999,21.7866,2.316139
1237663785282830502,26.7128938427885,0.913773751402184,-0.9457303,19.55648,19.44715,19.45479,19.51218,15.485,14.261,19.57716,19.45618,19.45782,11.62,0.171,9999,9999,9999,9999,9999,9999,19.60919,1.30029
1237663785282896283,26.865390734592,1.01575145111868,-0.1303245,21.88703,21.30697,21.06186,21.08611,17.098,15.986,21.89833,21.27347,21.07898,12.565,9999,9999,9999,9999,9999,9999,9999,21.75753,1.301106
1237663785283354775,27.9665055716472,1.00311900767689,-0.02745959,20.0759,19.85876,19.8768,19.61555,16.493,15.442,20.07817,19.8648,19.88687,11.809,0.187,9999,9999,9999,9999,9999,9999,20.69645,2.496943
1237666090057859484,19.7689422112645,28.844595923761,-0.3574822,21.31198,21.20331,21.19893,20.73111,17.131,16.509,21.37044,21.28715,21.25098,12.409,9999,9999,9999,9999,9999,9999,9999,21.80518,0.8071927
1237666185648275508,359.86701528084,35.999215563503,-4.498912,18.77978,18.46556,18.39213,18.42946,15.251,13.82,18.80072,18.47493,18.40612,11.026,0.101,9999,9999,9999,9999,9999,9999,18.82985,1.372366
1237666214612959717,19.8727829822418,28.3410888146042,-1.182919,21.1945,21.07874,20.92918,20.46646,16.6,15.455,21.2105,21.08542,20.95651,12.926,0.458,9999,9999,9999,9999,9999,9999,21.46974,0.847171
1237666214614663756,20.443302190136,32.2367606932117,-0.1034822,20.71466,20.51513,20.14856,20.0265,16.706,15.225,20.7196,20.52619,20.16386,13.017,0.527,9999,9999,9999,9999,9999,9999,20.97049,1.891374
1237666273665352079,21.9597453898088,22.9113823322942,-0.2756165,21.65649,21.59655,21.35201,20.95251,16.847,15.622,21.72558,21.67619,21.37535,13.018,0.523,9999,9999,9999,9999,9999,9999,21.87886,0.7976432
1237666273667776850,27.8584978362085,22.1488919146394,-1.70068,20.14729,19.84761,19.75463,19.42928,17.019,16.323,20.16701,19.86183,19.75713,12.083,0.213,9999,9999,9999,9999,9999,9999,20.69941,2.248776
1237666274201829777,20.9589449498081,23.3237932878107,-0.3776102,20.95366,20.65519,20.51943,20.24889,16.958,16.063,21.0484,20.76827,20.59084,12.222,0.236,9999,9999,9999,9999,9999,9999,21.97519,2.459296
1237666274204778726,28.3025070248983,22.4335170019944,-67.24609,18.89075,18.62233,18.33297,18.10024,13.552,12.561,18.97321,18.71468,18.45305,9.706,0.035,16.702,0.12,15.873,0.131,14.958,0.111,19.27134,0.4461576
1237666275278389929,28.1027196860203,23.3936182095619,-7.015093,23.42496,21.79175,20.65502,19.81833,16.182,16.427,24.01156,22.45539,21.45715,12.543,9999,9999,9999,9999,9999,9999,9999,22.73051,1.035272
1237666340797088541,10.9492013084901,1.20071554726524,-0.9317607,22.96285,22.32105,21.03533,20.38345,16.905,16.29,24.22696,22.89667,21.85398,11.437,9999,9999,9999,9999,9999,9999,9999,26.17816,1.274715
1237666340797218975,11.1563552727592,1.12223908292561,-0.0006924054,21.01316,20.603,20.38242,20.06945,15.337,14.247,21.01071,20.61496,20.39861,11.559,9999,9999,9999,9999,9999,9999,9999,21.5435,0.9170519
1237667227146846496,27.7576703664195,5.67609958486,-2.005751,20.33189,19.8315,19.44375,19.11483,14.19,13.214,20.33489,19.83236,19.45924,10.615,0.07,17.199,0.199,16.212,0.215,15.379,0.157,20.78566,5.553895
1237667228220195053,26.929153580477,6.74692818960563,-0.136073,21.32083,21.07949,20.89461,20.59966,16.331,15.507,21.37074,21.15564,20.98871,12.281,0.317,9999,9999,9999,9999,9999,9999,21.99548,0.6687669
1237667228220457383,27.5230540635529,6.5800837601923,-5.41376,21.38134,20.36233,19.63151,19.31504,14.404,13.599,21.415,20.39526,19.69948,11.351,0.135,9999,9999,9999,9999,9999,9999,22.7582,0.582458
1237667228757328155,27.5747413903452,7.03511435514917,-4.921461,20.43971,20.47334,20.08439,19.75285,15.391,14.685,20.48392,20.54995,20.19218,12.493,0.41,9999,9999,9999,9999,9999,9999,21.01441,0.6384304
1237667228757524675,27.9703596355943,7.04007590211004,-0.4442836,21.16173,21.02016,20.95116,20.69257,17.665,16.024,21.16968,21.00428,20.95217,12.652,9999,9999,9999,9999,9999,9999,9999,21.87239,2.284922
1237667229294395708,27.9535772505728,7.38824509148148,-0.1137937,20.64556,20.27524,20.11883,20.18195,17.207,15.867,20.67722,20.31798,20.15272,12.545,9999,9999,9999,9999,9999,9999,9999,20.66817,1.406684
1237667229831135424,27.7310978672239,7.93301468871702,-0.009489627,20.27131,20.14095,20.04903,20.12768,15.806,14.798,20.29194,20.13587,20.03786,11.679,0.179,9999,9999,9999,9999,9999,9999,20.60736,0.8025619
1237669701047222523,7.558654180129,6.57849434029948,-1.62071,21.33779,20.62019,20.09238,20.49472,16.123,15.335,21.34867,20.66634,20.18776,12.458,0.447,9999,9999,9999,9999,9999,9999,21.84925,0.440668
1237669701047419211,8.13861667622552,6.44994069976654,-0.09398451,21.62986,20.9228,20.77646,20.57065,16.287,14.975,21.64641,20.90282,20.76717,11.736,9999,9999,9999,9999,9999,9999,9999,21.92617,1.082127
1237669701050237689,14.5582117591062,6.44637483233057,-5.772522,22.85742,21.59498,20.54815,19.8285,16.522,16.637,23.58262,22.46889,21.53109,12.434,0.472,9999,9999,9999,9999,9999,9999,22.7407,1.36701
1237669701586911415,14.1011519997136,6.96931407128704,-0.137681,20.30058,20.08501,20.05125,19.95873,16.704,15.272,20.33751,20.12288,20.07785,12.606,0.535,9999,9999,9999,9999,9999,9999,20.46312,1.375251
1237669702124044371,14.7090388870729,7.28058987288535,-0.3179497,19.87383,19.70309,19.81931,19.6382,15.888,14.683,19.88886,19.73249,19.85277,11.613,0.254,9999,9999,9999,9999,9999,9999,20.17237,0.8527907
1237669702124110055,14.8597023841482,7.27329572319588,-0.3638988,20.80508,20.74345,20.61157,20.71083,16.73,15.268,20.83399,20.7852,20.65898,12.195,0.412,9999,9999,9999,9999,9999,9999,21.32336,1.899344
1237669702124241089,15.1527160885654,7.24415545451189,-1.245545,18.84608,18.67194,18.70552,18.5071,14.331,13.25,18.84625,18.70181,18.73686,10.372,0.08,9999,9999,9999,9999,9999,9999,19.34591,0.9044518
1237669702124437669,15.6393726027223,7.21329734196943,-0.08159412,21.20826,20.94548,21.11746,20.65967,17.039,15.677,21.22824,20.96279,21.12986,12.473,9999,9999,9999,9999,9999,9999,9999,21.10638,1.338629
1237669703197589717,14.3035533572163,8.22723090156162,-0.1081749,20.73761,20.74735,20.72684,20.1608,17.051,15.574,20.76982,20.79824,20.79499,11.731,0.253,9999,9999,9999,9999,9999,9999,21.2835,2.400998
1237669703734526312,14.4799500440924,8.64285556444725,-0.0523486,21.87561,21.55106,21.15227,21.30392,17.885,15.695,21.99665,21.79105,21.29948,12.403,9999,9999,9999,9999,9999,9999,9999,22.20277,1.770924
1237669765472715883,7.04504970305095,6.40219147944658,-0.6117234,25.18461,22.6821,21.61901,19.72661,17.001,16.462,25.21201,23.91366,22.90079,12.632,9999,9999,9999,9999,9999,9999,9999,22.61326,1.755178
1237669765472977235,7.68966868273878,6.39138668795592,-12.55297,20.47656,19.97727,19.53086,19.46486,15.757,14.524,20.63695,20.16599,19.69325,11.646,0.222,9999,9999,9999,9999,9999,9999,20.63763,0.2126209
