ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237656971300700315,9.9657362286693,-0.527365009978205,-9.798512,18.08755,16.97355,16.54935,16.28518,14.384,14.458,18.09374,16.98045,16.5386,12.525,9999,15.148,0.036,14.473,0.022,14.305,0.066,20.51007,-0.0001373371
1237656971301028000,10.7035124752141,-0.623419847028615,-5.309728,19.9104,18.47202,17.69679,17.22434,15.138,15.042,19.91322,18.49996,17.6747,12.606,9999,16.081,0.068,15.408,0.08,15.443,0.161,22.54195,4.088988E-05
1237656971301289998,11.3069458161734,-0.546334855664369,-1.702713,17.04222,16.50361,16.34937,16.28632,15.004,15.001,17.05576,16.50437,16.33487,12.326,9999,15.349,0.047,15.013,0.073,15.044,0.128,18.62524,-4.582794E-05
1237657189833244817,4.11488755418037,-0.849421283952129,-0.2922989,18.59809,17.40285,16.95735,16.6962,14.746,14.831,18.5946,17.39448,16.95788,11.921,9999,15.519,0.057,14.858,0.08,14.823,0.127,21.11331,-7.073812E-06
1237657189833310512,4.27909117915772,-0.901216273562758,-3.84284,17.33541,16.5033,16.21855,16.08481,14.46,14.506,17.33866,16.49791,16.21757,12.587,9999,15.103,0.037,14.58,0.054,14.406,0.084,19.49874,-8.864437E-05
1237657189833441385,4.57640322357798,-1.03906378371113,-21.27604,17.25287,16.86719,16.71298,16.67016,15.426,15.696,17.28356,16.86075,16.72894,12.571,9999,15.862,0.063,15.464,0.09,15.485,0.213,18.34509,-0.0004807895
1237657189833506838,4.63822528322919,-0.961982081610784,-2.101363,17.82692,17.4016,17.25706,17.23078,16.136,15.903,17.81951,17.40032,17.2456,12.52,9999,16.455,0.103,16.248,0.192,16.621,9999,19.0077,-0.0001337375
1237657189833506952,4.70797093682808,-0.982308118797555,-2.545898,18.86279,17.48062,16.73736,16.33018,14.208,14.083,18.83603,17.48031,16.73015,12.616,9999,15.124,0.048,14.514,0.051,14.392,0.076,21.45832,9.393763E-05
1237657189833507043,4.7253344289723,-0.866328999451047,-2.806864,20.7119,19.35457,18.00835,17.28885,15.004,14.863,20.69574,19.34297,18.01023,12.738,9999,15.844,0.059,15.292,0.074,15.001,0.126,23.03143,-0.0001243979
1237657189833638100,4.94513986071507,-0.860982752581584,-14.04471,20.095,18.66828,17.05076,16.19961,13.829,13.6,20.0626,18.66558,17.05859,12.693,9999,14.722,0.033,14.302,0.047,13.965,0.058,24.48355,-0.0001027286
1237657189833769328,5.21291961677372,-0.949133069554542,-48.99617,20.29923,18.91974,18.13107,17.89939,15.81,15.607,20.29661,18.93207,18.16026,12.552,9999,16.653,0.119,16.203,0.184,15.736,9999,22.68185,-8.139188E-05
1237657189834883188,7.75095177718106,-0.874010844268959,-1.779373,17.59574,16.89384,16.64922,16.546,14.961,15.018,17.5973,16.90819,16.64232,12.545,9999,15.743,0.066,15.069,0.074,15.096,0.147,19.38383,4.932781E-05
1237657189834883298,7.87367126825615,-0.896259373186741,-140.4514,20.48388,19.06718,17.96297,17.3605,15.102,14.683,20.51972,19.13046,18.05424,12.427,0.462,16.017,0.071,15.366,0.101,15.009,0.121,23.8285,0.0001565563
1237657189835407540,8.94642418830483,-0.993914291155684,-4.122924,19.14338,17.67916,16.60636,16.01324,13.85,13.672,19.13666,17.6812,16.60393,12.539,9999,14.74,0.033,14.261,0.041,13.935,0.057,22.13875,3.024584E-06
1237657189835407560,8.9876286989911,-0.950746372823905,-4.641574,18.66135,17.14965,16.1007,15.52362,13.256,13.092,18.65829,17.15073,16.09765,12.173,0.401,14.181,0.029,13.642,0.035,13.408,0.039,21.56719,8.562949E-05
1237657189835603981,9.40110878118884,-0.963654449606519,-229.195,15.50051,15.04323,14.86687,14.80932,13.425,13.454,15.54161,15.05415,14.89765,12.469,9999,13.957,0.026,13.566,0.032,13.506,0.038,16.82439,-6.303198E-05
