ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237652900210934294,359.349529233005,-10.205244518392,-15.57746,22.29109,20.5867,19.36294,18.73461,15.236,15.497,23.34265,21.62898,20.51247,12.373,9999,9999,9999,9999,9999,9999,9999,22.35736,0.676948
1237652900210999409,359.437616885658,-10.3039287561806,-3647.91,18.06175,17.62917,17.31084,17.21831,15.021,14.799,19.62255,19.36423,19.20371,11.062,0.124,16.804,0.175,16.508,0.222,14.909,9999,19.06599,0.09504685
1237652900210999435,359.50689351514,-10.3143179024311,-3515.564,18.38975,17.44197,16.9976,16.63823,14.404,14.145,19.76664,18.95255,18.60447,11.027,0.118,16.273,0.107,16.036,0.158,14.905,0.146,19.96166,0.1677653
1237652900210999455,359.407689083548,-10.2767440172101,-1017.095,20.05127,18.29977,17.70153,17.29874,14.525,14.144,21.03529,19.42033,18.91962,12.686,9999,16.978,0.188,15.828,0.126,15.084,0.149,23.43632,0.3352517
1237652900210999460,359.459720413493,-10.2142637079512,-4800.017,18.15508,17.46578,17.04339,16.69119,14.479,14.215,20.03883,19.44086,19.13746,10.395,0.071,16.646,0.153,16.07,0.159,14.809,9999,19.34492,0.10502
1237652900210999474,359.475321493463,-10.3338121372766,-2376.987,18.36421,17.82197,17.50012,17.30434,15.394,15.32,19.95819,19.57606,19.37777,11.635,0.21,9999,9999,9999,9999,9999,9999,19.5533,0.06971475
1237652900210999662,359.419793637011,-10.2826928886441,-18.87215,22.34867,20.92936,19.85666,19.29209,15.346,15.338,22.66882,21.30694,20.2789,12.144,9999,9999,9999,9999,9999,9999,9999,26.71307,0.5239674
1237652900210999806,359.503024413963,-10.2856687333651,-20.27864,22.3699,20.62947,19.52018,18.88941,15.196,15.355,22.85363,21.40413,20.40119,12.312,9999,9999,9999,9999,9999,9999,9999,26.34488,0.5541692
1237652900211064948,359.544826265279,-10.3477749937546,-15466.22,17.30311,16.27235,15.8172,15.45122,13.307,13.164,18.66507,17.7938,17.43537,11.95,0.338,15.223,0.094,14.538,0.11,14.019,0.096,19.51788,0.1154457
1237652900211064949,359.544961277822,-10.3460099917811,-2313.257,18.66009,17.63351,17.19141,16.83168,13.884,13.759,19.25364,18.35571,17.98659,12.174,9999,15.844,0.106,15.298,0.128,14.671,0.125,20.63665,0.1144656
1237652900211064965,359.577654176083,-10.1789087598076,-2696.573,18.73516,17.57603,17.10519,16.77084,14.386,14.141,19.83916,18.72257,18.3405,11.893,9999,16.229,0.106,15.552,0.111,14.723,0.106,20.60542,0.1670797
1237652900211064985,359.605797145603,-10.3307227825143,-3781.842,18.31175,17.35815,16.92887,16.60826,14.104,13.978,18.91455,18.06857,17.70145,11.951,9999,15.804,0.079,15.007,0.084,14.674,0.104,20.25087,0.09326109
1237652900211065009,359.64874146147,-10.3298727432722,-3501.012,18.38076,17.37191,16.94498,16.55025,14.276,14.121,19.29968,18.39294,18.02918,12.572,9999,16.024,0.085,15.27,0.104,14.961,0.132,20.36171,0.1049772
1237652900211065014,359.651413644192,-10.3125088010516,-13954.76,17.21833,16.2461,15.82999,15.47661,13.448,13.45,18.88105,18.03394,17.70089,12.111,0.346,15.446,0.097,14.794,0.092,14.553,0.118,19.21704,0.1051064
1237652900211065042,359.567526386451,-10.270009635899,-7023.893,17.82726,17.02912,16.59703,16.26592,14.245,14.09,20.06065,19.4127,19.09949,11.354,0.166,16.377,0.167,16.079,0.187,14.544,9999,19.25051,0.1158126
1237652900211065056,359.621964814121,-10.3106862840613,-3736.841,18.18747,17.49847,17.13923,16.91246,14.891,14.797,20.12317,19.57881,19.31144,11.745,0.239,9999,9999,9999,9999,9999,9999,19.70072,0.09300993
1237652900211130468,359.679639688136,-10.3667282946593,-26597.29,16.68584,15.88423,15.46738,15.14283,13.194,13.018,19.23534,18.45803,18.05306,10.103,0.059,15.753,0.147,15.167,0.16,14.739,0.177,18.2017,0.1034952
1237652900211130525,359.779752678684,-10.367338630331,-3842.705,18.4729,17.31903,16.8434,16.51544,14.136,13.977,19.52146,18.5091,18.06476,12.223,9999,16.014,0.099,15.393,0.114,14.717,0.119,20.62928,0.1669931
1237652900211130693,359.680991297007,-10.2141434977872,-61.19379,21.73155,20.02944,19.21305,18.90389,15.577,15.34,22.55983,20.95606,20.19026,12.369,9999,9999,9999,9999,9999,9999,9999,25.29594,0.4691329
1237652900211130795,359.72821138599,-10.2286411341277,-105.3873,21.58519,20.07624,19.28095,18.71466,15.249,15.192,22.51801,21.29393,20.45449,12.35,9999,9999,9999,9999,9999,9999,9999,24.0308,0.4592172
1237652900211130898,359.785916165308,-10.2675476271786,-105.6785,21.62109,19.79478,18.78229,18.3327,14.964,14.831,22.75679,21.03969,20.03495,12.534,9999,9999,9999,9999,9999,9999,9999,21.9637,0.5131649
